Language,,Glyph Name,Unicode
Hindi,,,
,Vowels:,,
,अ,a-deva,0905
,आ,aa-deva,0906
,इ,i-deva,0907
,ई,ii-deva,0908
,उ,u-deva,0909
,ऊ,uu-deva,090A
,ऋ,rVocalic-deva,090B
,ऍ,eCandra-deva,090D
,ऎ,eShort-deva,090E
,ए,e-deva,090F
,ऐ,ai-deva,0910
,ऑ,oCandra-deva,0911
,ऒ,oShort-deva,0912
,ओ,o-deva,0913
,औ,au-deva,0914
,ा,aaMatra-deva,093E
,ि,iMatra-deva,093F
,ी,iiMatra-deva,0940
,ु,uMatra-deva,0941
,ू,uuMatra-deva,0942
,ृ,rVocalicMatra-deva,0943
,ॄ,rrVocalicMatra-deva,0944
,ॅ,eCandraMatra-deva,0945
,े,eMatra-deva,0947
,ै,aiMatra-deva,0948
,◌ॊ,oShortMatra-deva,094A
,ो,oMatra-deva,094B
,ौ,auMatra-deva,094C
,ं,anusvara-deva,0902
,ः,visarga-deva,0903
,,,
,Consonants:,,
,क,ka-deva,0915
,ख,kha-deva,0916
,ग,ga-deva,0917
,घ,gha-deva,0918
,ङ,nga-deva,0919
,च,ca-deva,091A
,छ,cha-deva,091B
,ज,ja-deva,091C
,झ,jha-deva,091D
,ञ,nya-deva,091E
,ट,tta-deva,091F
,ठ,ttha-deva,0920
,ड,dda-deva,0921
,ढ,ddha-deva,0922
,ण,nna-deva,0923
,त,ta-deva,0924
,थ,tha-deva,0925
,द,da-deva,0926
,ध,dha-deva,0927
,न,na-deva,0928
,प,pa-deva,092A
,फ,pha-deva,092B
,ब,ba-deva,092C
,भ,bha-deva,092D
,म,ma-deva,092E
,य,ya-deva,092F
,र,ra-deva,0930
,ल,la-deva,0932
,व,va-deva,0935
,श,sha-deva,0936
,ष,ssa-deva,0937
,स,sa-deva,0938
,ह,ha-deva,0939
,,,
,Half forms:,,
,क्◌,k-deva,
,ख्◌,kh-deva,
,ग्◌,g-deva,
,घ्◌,gh-deva,
,च्◌,c-deva,
,ज्◌,j-deva,
,झ्◌,jh-deva,
,ञ्◌,ny-deva,
,ण्◌,nn-deva,
,त्◌,t-deva,
,थ्◌,th-deva,
,ध्◌,dh-deva,
,न्◌,n-deva,
,प्◌,p-deva,
,फ्◌,ph-deva,
,ब्◌,b-deva,
,भ्◌,bh-deva,
,म्◌,m-deva,
,य्◌,y-deva,
,र्◌,r-deva,
,ल्◌,l-deva,
,व्◌,v-deva,
,श्◌,sh-deva,
,ष्◌,ss-deva,
,स्◌,s-deva,
,ह्◌,h-deva,
,,,
,Figures:,,
,०,zero-deva,0966
,१,one-deva,0967
,२,two-deva,0968
,३,three-deva,0969
,४,four-deva,096A
,५,five-deva,096B
,६,six-deva,096C
,७,seven-deva,096D
,८,eight-deva,096E
,९,nine-deva,096F
,,,
,Other Marks/Punctualtion:,,
,़,nukta-deva,093C
,ऽ,avagraha-deva,093D
,्,halant-deva,094D
,।,danda-deva,0964
,॥,dbldanda-deva,0965
,॰,abbreviation-deva,0970
,ॽ,glottalstop-deva,097D
,࿕,rightFacingSvasti,0FD5
,ॐ,om-deva,0950
,ृ,rVocalicMatra-deva,0943
,,,
Kashmiri,,,
,ॳ,oe-deva,0973
,ॴ,ooe-deva,0974
,ॶ,ue-deva,0976
,ॷ,uue-deva,0977
,ऎ,eShort-deva,090E
,ऒ,oShort-deva,0912
,ॵ,aw-deva,0975
,च़,ca_nukta-deva,
,छ़,cha_nukta-deva-deva,
,ॖ,ueMatra-deva,0956
,ॗ,uueMatra-deva,0957
,ॆ,eShortMatra-deva,0946
,ऺ,oeMatra-deva,093A
,ऻ,ooeMatra-deva,093B
,ॊ,oShortMatra-deva,094A
,ॏ,awMatra-deva,094F
,,,
Konkani,,,
,ळ,lla-deva,0933
,ळ्◌,ll-deva,
,ऱ्ह,rr-deva,
,,,
Marathi,,,
,ॲ,aCandra-deva,0972
,ळ,lla-deva,0933
,ळ्◌,ll-deva,
,ऱ्ह,rr-deva,
,ल→(alt),la-deva.loclMAR,
,श→(alt),sha-deva.loclMAR,
,ल्◌→(alt),l-deva.loclMAR,
,श◌→(alt),sh-deva.loclMAR,
,१→(alt),one-deva.loclMAR,
,५→(alt),five-deva.loclMAR,
,८→(alt),eight-deva.loclMAR,
,९→(alt),nine-deva.loclMAR,
,,,
Nepali,,,
,झ→(alt),jha-deva.loclNEP,
,झ्◌→(alt),jh-deva.loclNEP,
,१→(alt),one-deva.loclNEP,
,५→(alt),five-deva.loclNEP,
,८→(alt),eight-deva.loclNEP,
,९→(alt),nine-deva.loclNEP,
,,,
Rajasthani,,,
,ॸ	,dda-deva.loclMAW	,0978
,ळ,lla-deva,0933
,ळ्,ll-deva,
,,,
Sindhi,,,
,ॻ,gga-deva,097B
,ॼ,jja-deva,097C
,ॾ,ddda-deva,097E
,ॿ,bba-deva,097F
,,,
Sanskrit,,,
,ॠ,rrVocalic-deva,0960
,ऌ,lVocalic-deva,090C
,ॡ,llVocalic-deva,0961
,ॢ,lVocalicMatra-deva,0962
,ॣ,llVocalicMatra-deva,0963
,ऀ,invertedCandraBindu-deva,0900
,ॕ,eLongCandra-deva,0955
,॑,udatta-deva,0951
,॒,anudatta-deva,0952